Datetime;Energy;Month;Day;Hour
2022-01-17;3,387;1;17;23
2022-01-17;2,745;1;17;24
2022-01-18;2,995;1;18;1
2022-01-18;1,704;1;18;2
2022-01-18;1,208;1;18;3
2022-01-18;1,698;1;18;4
2022-01-18;1,37;1;18;5
2022-01-18;1,359;1;18;6
2022-01-18;1,737;1;18;7
2022-01-18;2,577;1;18;8
2022-01-18;2,8;1;18;9
2022-01-18;2,12;1;18;10
2022-01-18;2,813;1;18;11
2022-01-18;3,148;1;18;12
2022-01-18;3,15;1;18;13
2022-01-18;2,361;1;18;14
2022-01-18;2,303;1;18;15
2022-01-18;2,732;1;18;16
2022-01-18;1,495;1;18;17
2022-01-18;1,758;1;18;18
2022-01-18;1,948;1;18;19
2022-01-18;2,012;1;18;20
2022-01-18;2,389;1;18;21
2022-01-18;3,08;1;18;22
2022-01-18;2,844;1;18;23
2022-01-18;3,022;1;18;24
2022-01-19;2,417;1;19;1
2022-01-19;1,447;1;19;2
2022-01-19;1,331;1;19;3
2022-01-19;1,622;1;19;4
2022-01-19;1,625;1;19;5
2022-01-19;1,52;1;19;6
2022-01-19;1,728;1;19;7
2022-01-19;1,53;1;19;8
2022-01-19;1,863;1;19;9
2022-01-19;2,373;1;19;10
2022-01-19;1,916;1;19;11
2022-01-19;2,165;1;19;12
2022-01-19;1,69;1;19;13
2022-01-19;1,937;1;19;14
2022-01-19;1,707;1;19;15
2022-01-19;2,003;1;19;16
2022-01-19;1,896;1;19;17
2022-01-19;1,175;1;19;18
2022-01-19;1,327;1;19;19
2022-01-19;1,14;1;19;20
2022-01-19;2,949;1;19;21
2022-01-19;2,368;1;19;22
2022-01-19;2,523;1;19;23
2022-01-19;1,961;1;19;24
2022-01-20;1,675;1;20;1
2022-01-20;1,334;1;20;2
2022-01-20;1,544;1;20;3
2022-01-20;1,74;1;20;4
2022-01-20;1,351;1;20;5
2022-01-20;1,678;1;20;6
2022-01-20;1,618;1;20;7
2022-01-20;1,612;1;20;8
2022-01-20;2,346;1;20;9
2022-01-20;2,618;1;20;10
2022-01-20;2,259;1;20;11
2022-01-20;3,172;1;20;12
2022-01-20;2,749;1;20;13
2022-01-20;2,449;1;20;14
2022-01-20;2,166;1;20;15
2022-01-20;2,067;1;20;16
2022-01-20;1,379;1;20;17
2022-01-20;1,673;1;20;18
2022-01-20;1,568;1;20;19
2022-01-20;1,634;1;20;20
2022-01-20;2,092;1;20;21
2022-01-20;2,762;1;20;22
2022-01-20;2,535;1;20;23
2022-01-20;1,761;1;20;24
2022-01-21;1,397;1;21;1
2022-01-21;1,022;1;21;2
2022-01-21;1,278;1;21;3
2022-01-21;1,195;1;21;4
2022-01-21;1,109;1;21;5
2022-01-21;1,199;1;21;6
2022-01-21;1,486;1;21;7
2022-01-21;1,189;1;21;8
2022-01-21;1,726;1;21;9
2022-01-21;1,876;1;21;10
2022-01-21;2,331;1;21;11
2022-01-21;2,472;1;21;12
2022-01-21;2,18;1;21;13
2022-01-21;1,962;1;21;14
2022-01-21;2,276;1;21;15
2022-01-21;2,559;1;21;16
2022-01-21;2,31;1;21;17
2022-01-21;1,819;1;21;18
2022-01-21;1,982;1;21;19
2022-01-21;2,462;1;21;20
2022-01-21;2,913;1;21;21
2022-01-21;3,565;1;21;22
2022-01-21;3,599;1;21;23
2022-01-21;4,491;1;21;24
2022-01-22;3,656;1;22;1
2022-01-22;1,563;1;22;2
2022-01-22;0,987;1;22;3
2022-01-22;1,121;1;22;4
2022-01-22;0,96;1;22;5
2022-01-22;1,085;1;22;6
2022-01-22;1,26;1;22;7
2022-01-22;1,113;1;22;8
2022-01-22;1,482;1;22;9
2022-01-22;2,16;1;22;10
2022-01-22;1,831;1;22;11
2022-01-22;1,317;1;22;12
2022-01-22;1,392;1;22;13
2022-01-22;1,657;1;22;14
2022-01-22;2,191;1;22;15
2022-01-22;2,783;1;22;16
2022-01-22;2,614;1;22;17
2022-01-22;2,412;1;22;18
2022-01-22;2,592;1;22;19
2022-01-22;2,301;1;22;20
2022-01-22;2,752;1;22;21
2022-01-22;3,235;1;22;22
2022-01-22;3,313;1;22;23
2022-01-22;3,25;1;22;24
2022-01-23;2,523;1;23;1
2022-01-23;0,904;1;23;2
2022-01-23;1,097;1;23;3
2022-01-23;0,8;1;23;4
2022-01-23;1,01;1;23;5
2022-01-23;1,001;1;23;6
2022-01-23;1,144;1;23;7
2022-01-23;0,97;1;23;8
2022-01-23;1,292;1;23;9
2022-01-23;1,843;1;23;10
2022-01-23;2,301;1;23;11
2022-01-23;2,179;1;23;12
2022-01-23;3,33;1;23;13
2022-01-23;3,349;1;23;14
