CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;14/01/2023;24;0,553;R
ES0021000003073076YC;15/01/2023;1;0,584;R
ES0021000003073076YC;15/01/2023;2;0,543;R
ES0021000003073076YC;15/01/2023;3;0,482;R
ES0021000003073076YC;15/01/2023;4;0,347;R
ES0021000003073076YC;15/01/2023;5;0,338;R
ES0021000003073076YC;15/01/2023;6;0,332;R
ES0021000003073076YC;15/01/2023;7;0,282;R
ES0021000003073076YC;15/01/2023;8;0,321;R
ES0021000003073076YC;15/01/2023;9;0,267;R
ES0021000003073076YC;15/01/2023;10;0,667;R
ES0021000003073076YC;15/01/2023;11;0,395;R
ES0021000003073076YC;15/01/2023;12;0,426;R
ES0021000003073076YC;15/01/2023;13;1,382;R
ES0021000003073076YC;15/01/2023;14;1,131;R
ES0021000003073076YC;15/01/2023;15;1,319;R
ES0021000003073076YC;15/01/2023;16;1,100;R
ES0021000003073076YC;15/01/2023;17;1,305;R
ES0021000003073076YC;15/01/2023;18;1,231;R
ES0021000003073076YC;15/01/2023;19;1,312;R
ES0021000003073076YC;15/01/2023;20;1,290;R
ES0021000003073076YC;15/01/2023;21;1,948;R
ES0021000003073076YC;15/01/2023;22;1,230;R
ES0021000003073076YC;15/01/2023;23;0,822;R
ES0021000003073076YC;15/01/2023;24;0,650;R
ES0021000003073076YC;16/01/2023;1;0,587;R
ES0021000003073076YC;16/01/2023;2;0,396;R
ES0021000003073076YC;16/01/2023;3;0,364;R
ES0021000003073076YC;16/01/2023;4;0,395;R
ES0021000003073076YC;16/01/2023;5;0,369;R
ES0021000003073076YC;16/01/2023;6;0,432;R
ES0021000003073076YC;16/01/2023;7;0,522;R
ES0021000003073076YC;16/01/2023;8;0,539;R
ES0021000003073076YC;16/01/2023;9;0,360;R
ES0021000003073076YC;16/01/2023;10;0,317;R
ES0021000003073076YC;16/01/2023;11;0,309;R
ES0021000003073076YC;16/01/2023;12;0,422;R
ES0021000003073076YC;16/01/2023;13;0,366;R
ES0021000003073076YC;16/01/2023;14;0,461;R
ES0021000003073076YC;16/01/2023;15;1,147;R
ES0021000003073076YC;16/01/2023;16;1,554;R
ES0021000003073076YC;16/01/2023;17;0,494;R
ES0021000003073076YC;16/01/2023;18;0,529;R
ES0021000003073076YC;16/01/2023;19;0,573;R
ES0021000003073076YC;16/01/2023;20;0,494;R
ES0021000003073076YC;16/01/2023;21;0,494;R
ES0021000003073076YC;16/01/2023;22;1,400;R
ES0021000003073076YC;16/01/2023;23;1,095;R
ES0021000003073076YC;16/01/2023;24;0,756;R
ES0021000003073076YC;17/01/2023;1;1,003;R
ES0021000003073076YC;17/01/2023;2;2,053;R
ES0021000003073076YC;17/01/2023;3;2,544;R
ES0021000003073076YC;17/01/2023;4;2,486;R
ES0021000003073076YC;17/01/2023;5;2,495;R
ES0021000003073076YC;17/01/2023;6;1,353;R
ES0021000003073076YC;17/01/2023;7;0,703;R
ES0021000003073076YC;17/01/2023;8;0,414;R
ES0021000003073076YC;17/01/2023;9;0,312;R
ES0021000003073076YC;17/01/2023;10;0,280;R
ES0021000003073076YC;17/01/2023;11;0,332;R
ES0021000003073076YC;17/01/2023;12;0,340;R
ES0021000003073076YC;17/01/2023;13;0,377;R
ES0021000003073076YC;17/01/2023;14;0,439;R
